name,total_hg19_counts,total_mm10_counts,unique_hg19_genes,unique_mm10_genes,hg19_unique_count_ratio,mm10_unique_count_ratio,hg19_multiplet,mm10_multiplet,hg19_mm10_multiplet,Multiplet,Multiplet_Type,Droplet_Contents
alignments.possorted.tagged_BC00001_N01,51,962,51,935,1,0.99585560321914,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00002_N02,146,3724,144,3554,0.997232261055226,0.994317503814852,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00003_N03,78,2067,78,1935,1,0.991355485967609,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00004_N03,12796,149,10853,141,0.982585065579051,0.988971421315668,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC00005_N01,8706,105,7761,104,0.987334193866314,0.99794380478213,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC00006_N01,49,11183,48,9559,0.994701891242834,0.983167869196179,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00007_N03,63,5610,59,5208,0.984167234034664,0.991386448228189,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00008_N01,39,10488,35,9176,0.970462190869764,0.985564856996769,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00010_N02,5323,97,4829,92,0.98864801809682,0.988431531149612,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC00011_N01,38,9421,34,8143,0.969423230068978,0.984068690587862,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00012_N01,4584,5596,4273,5166,0.991666299468909,0.990735208908078,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00013_N01,23,10772,23,9260,1,0.983710185849006,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00014_N03,68,13471,59,11339,0.966353832913676,0.981879913834866,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00015_N02,1003,810,978,780,0.996347557783289,0.994364620728049,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00016_N03,177,1700,175,1664,0.997804592363547,0.997122505370058,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00017_N01,50,7967,50,7055,1,0.986466595950941,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00018_N01,7862,79,7046,74,0.987783340519389,0.985036379544858,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC00019_N01,7798,72,6887,66,0.986137363738118,0.979654390927845,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC00020_N01,8079,41,7188,41,0.9870118006121,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC00021_N03,4417,9471,4122,8170,0.991764509569321,0.98386131997006,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00022_N01,30,10379,29,8814,0.990032465666808,0.982325767623708,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00023_N02,4033,5751,3572,5273,0.985379310193618,0.989976550902106,TRUE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00024_N02,5479,6459,5056,5854,0.990666749666168,0.988789838955635,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00025_N02,29,11713,29,10243,1,0.985685494978262,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00026_N01,37,9246,35,7902,0.984610602484143,0.982799380511184,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00027_N01,42,9532,42,8266,1,0.984446903635271,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00028_N02,13289,70,10954,69,0.979648424516051,0.996613215589913,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC00029_N01,2037,6965,1958,6253,0.994808586248046,0.987813256997049,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00030_N03,4761,5375,4400,4985,0.990688331859089,0.991230566491996,FALSE,FALSE,TRUE,TRUE,Human + Mouse,Human + Mouse
alignments.possorted.tagged_BC00031_N01,36,9626,35,8250,0.99213876710281,0.983182422658525,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00032_N01,26,9608,26,8276,1,0.983726215171629,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00033_N02,7929,79,7214,79,0.989474229070849,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC00034_N01,35,9355,35,8086,1,0.984057074623924,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC00035_N02,7898,100,7013,100,0.986757392260728,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
